Video,YT Likes,Duration,Comments,Views
https://youtu.be/qGjAWJ2zWWI,14589982.0,PT4M29S,1369222.0,422988293.0
https://youtu.be/BJD0arHF_5c,53445.0,PT3M6S,2742.0,1174337.0
https://youtu.be/aE6curPGQRY,43136.0,PT3M45S,3509.0,2653457.0
https://youtu.be/29ycT6fA-Rs,658674.0,PT3M21S,32101.0,17521443.0
https://youtu.be/KTAZ7I8RylM,25972.0,PT3M25S,2105.0,260123.0
https://youtu.be/rQpWdm5zHOU,385502.0,PT3M34S,18388.0,8534178.0
https://youtu.be/TgOu00Mf3kI,5849952.0,PT3M42S,294389.0,172201822.0
https://youtu.be/Raj-AuQgCTg,723105.0,PT3M46S,36829.0,11619319.0
https://youtu.be/ObzvA8tx9aA,474895.0,PT3M56S,8701.0,16224178.0
https://youtu.be/Qk0fkeMAUz0,,,,
https://youtu.be/Ctlp1NNqXq0,28697.0,PT3M29S,893.0,689433.0
https://youtu.be/YPFIh0dfYfw,903508.0,PT3M50S,28097.0,26507819.0
https://youtu.be/eto1czNzbwY,,,,
https://youtu.be/BYQ5MKtSzd0,13115.0,PT3M58S,1130.0,189725.0
https://youtu.be/aiaLSkDDBec,,,,
https://youtu.be/V8FXWf0s7K0,1086121.0,PT3M55S,51307.0,23700364.0
https://youtu.be/aiaLSkDDBec,,,,
https://youtu.be/EFjCTvNZU1s,18497.0,PT2M20S,1188.0,192858.0
https://youtu.be/IENMc46TMtU,4432.0,PT4M9S,539.0,159042.0
https://youtu.be/ghpn99s8I-U,486450.0,PT3M13S,9784.0,16057766.0
https://youtu.be/-sKqPjhSiq0,332815.0,PT2M57S,17368.0,6461797.0
https://youtu.be/aTx5trrmYCQ,68176.0,PT3M43S,3506.0,2957603.0
https://youtu.be/Ygrv55VRRas,1236436.0,PT3M55S,408119.0,14099957.0
https://youtu.be/GmqfRBaJm6I,361358.0,PT3M37S,23903.0,8107365.0
https://youtu.be/5YsdHqm9udM,10349.0,PT3M49S,566.0,212019.0
https://youtu.be/pbAUixR61Vs,,,,
https://youtu.be/zIvlwzMuP-4,15471.0,PT3M37S,594.0,158972.0
https://youtu.be/UbIz99fsUXY,8707.0,PT3M9S,586.0,153228.0
https://youtu.be/Md9RRt2r3TU,159627.0,PT4M8S,7847.0,2328562.0
https://youtu.be/XYNfqKJr538,30067.0,PT4M42S,2119.0,679194.0
https://youtu.be/LGt-Dmnjk-s,139775.0,PT2M15S,5650.0,3252693.0
https://youtu.be/OZw8s1wVUtU,,,,
https://youtu.be/WDrcvug1xZs,,,,
https://youtu.be/fN-YPbbGUoE,289232.0,PT2M59S,5134.0,7246362.0
https://youtu.be/XFdPF5gyjTc,10408.0,PT6M14S,478.0,126419.0
https://youtu.be/he_XQNuWhis,49462.0,PT4M14S,1814.0,1095572.0
https://youtu.be/YimQ4mB0uiM,9462.0,PT3M52S,445.0,177258.0
https://youtu.be/JDmZ6oguzzM,66381.0,PT4M6S,3101.0,1274726.0
https://youtu.be/f5pTBgvXJeA,15747.0,PT3M23S,920.0,164137.0
https://youtu.be/bho0m505qVA,334237.0,PT3M48S,12907.0,6519347.0
https://youtu.be/UdyjeUwPz_E,,PT4M8S,5646.0,11907726.0
https://youtu.be/C9V7Cd0SmKc,25270.0,PT3M38S,2393.0,525271.0
https://youtu.be/AkE_L1Lj4Lc,211619.0,PT3M22S,7882.0,3309094.0
https://youtu.be/tBWh4IAHgWQ,71577.0,PT3M50S,3140.0,808485.0
https://youtu.be/hrO-BgLjJ-Q,51511.0,PT4M32S,2450.0,1680439.0
https://youtu.be/tJNS1W0YmdE,475623.0,PT3M1S,49831.0,10305248.0
https://youtu.be/t_aAAx2gtvY,68641.0,PT3M32S,1785.0,1039326.0
https://youtu.be/u3ZYUsd1vRU,60722.0,PT3M35S,1922.0,1003791.0
https://youtu.be/6Fibpj267H0,261985.0,PT3M18S,13046.0,3582331.0
https://youtu.be/MyAoZfwWdgk,24008.0,PT3M41S,1367.0,233357.0
https://youtu.be/IePbjLAUvf0,700637.0,PT4M41S,38844.0,30404112.0
https://youtu.be/aSGisoCdLPc,263228.0,PT4M45S,17536.0,6426876.0
https://youtu.be/D1PvIWdJ8xo,2260985.0,PT3M42S,47804.0,160708736.0
https://youtu.be/Kr8-EFdl6gg,634272.0,PT3M39S,23296.0,7256517.0
https://youtu.be/8xqSz6_RJeU,1279889.0,PT3M18S,39240.0,26844902.0
https://youtu.be/8xqSz6_RJeU,1279889.0,PT3M18S,39240.0,26844902.0
https://youtu.be/vzFF-boVVVk,17758.0,PT5M28S,2838.0,296620.0
https://youtu.be/3NBcWFRvTI4,1015.0,PT3M26S,138.0,16257.0
https://youtu.be/uy4-gePx5xU,575089.0,PT3M36S,21218.0,16602112.0
https://youtu.be/FEDXPMy0GM8,63001.0,PT3M48S,1985.0,1247840.0
https://youtu.be/6M-GNLCPf2I,48550.0,PT4M32S,2246.0,783257.0
https://youtu.be/3JrDhzPoLkU,159246.0,PT3M32S,4256.0,7182067.0
https://youtu.be/eP4ga_fNm-E,852839.0,PT3M46S,35573.0,40573811.0
https://youtu.be/RodzwqdC0RA,24810.0,PT3M43S,1845.0,217795.0
https://youtu.be/hYJ37-p57Rw,21250.0,PT4M35S,2766.0,738358.0
https://youtu.be/2OjCMR8DGLg,901858.0,PT4M20S,30232.0,26155875.0
https://youtu.be/Jaz-DBqBeKQ,11781.0,PT3M53S,839.0,106712.0
https://youtu.be/o5S3sPpkd8w,74899.0,PT3M3S,6896.0,1813728.0
https://youtu.be/G2TQIyjyrKk,78471.0,PT5M10S,6951.0,1662920.0
https://youtu.be/Rp8sVAr6yGY,195007.0,PT2M47S,10345.0,3642246.0
https://youtu.be/Fr1GTfOqFrs,21606.0,PT3M8S,2045.0,240203.0
https://youtu.be/7Z_aSAiP3vQ,21909.0,PT2M31S,686.0,707807.0
https://youtu.be/VffUe5aWCAc,7860.0,PT3M54S,295.0,142348.0
https://youtu.be/AO1OqWwKj1A,658011.0,PT3M45S,112936.0,10841443.0
https://youtu.be/1QMv1Qx5hRw,43758.0,PT4M18S,1459.0,1160770.0
https://youtu.be/9nkZ0F9QdVI,91799.0,PT4M19S,4618.0,6352144.0
https://youtu.be/6rzemizJoNQ,20186.0,PT4M45S,2765.0,968841.0
https://youtu.be/i23NEQEFpgQ,11858097.0,PT4M29S,790086.0,381374575.0
