Date,Artist,Song Name,Korean Name,Director,Video,Type,Release
4/6/2020,Max Changmin,Chocolate,,,https://youtu.be/-sKqPjhSiq0,Boy Solo,Major
4/5/2020,cignature,ASSA,아싸,,https://youtu.be/xDuaONIDgvc,Girl,Major
4/2/2020,Onewe,Q feat Hwasa,모르겠다고,,https://youtu.be/Ww0O3RhZbXw,Boy,Major
4/1/2020,Hong Jinyoung,Love is like a petal,사랑은 꽃잎처럼,,https://youtu.be/aTx5trrmYCQ,Girl Solo,Major
3/31/2020,CIX,Revival,,,https://youtu.be/LkbwhXFrmsc,Boy,Japanese
3/30/2020,TOO,Magnolia,매그놀리아,,https://youtu.be/VMON43ideUI,Boy,Major
3/30/2020,MONSTA X,Wish on the same sky,,,https://youtu.be/Xn5fAvdEEZA,Boy,Japanese
3/30/2020,Suho,Let's Love,"사랑, 하자",,https://youtu.be/Ygrv55VRRas,Boy Solo,Major
3/26/2020,WINNER,Hold,뜸,Sushivisual,https://youtu.be/YURT0erwtJc,Boy,Major
3/24/2020,Kang Daniel,2U,,,https://youtu.be/GmqfRBaJm6I,Boy Solo,Major
3/24/2020,Oneus,A Song Written Easily,쉽게 쓰여진 노래,ZANYBROS,https://youtu.be/Fbj4Dh-QkpA,Boy,Major
3/23/2020,Seventeen,Fallin' Flower,舞い落ちる花びら,,https://youtu.be/u4iDL3c0T1c,Boy,Japanese
3/22/2020,Kisum,Primero,1위,,https://youtu.be/5YsdHqm9udM,Girl Solo,Minor
3/21/2020,PURPLEBECK,VALENTi,,,https://youtu.be/ndwoqz1wx7Y,Girl,Major
3/20/2020,Daydream,Num Num,,,https://youtu.be/XrAZVvCaqL0,Girl,Major
3/17/2020,Sejeong,Plant,,,https://youtu.be/pbAUixR61Vs,Girl Solo,Major
3/15/2020,Hong Eunki,Breath,숨,,https://youtu.be/zIvlwzMuP-4,Boy Solo,Major
3/13/2020,Eyedi,J.us.t,,,https://youtu.be/UbIz99fsUXY,Girl Solo,Major
3/12/2020,AB6IX,Color Eye (Park Woojin),,,https://youtu.be/aFRkwkLMGHI,Boy,Special
3/11/2020,DONGKIZ,Lupin,,,https://youtu.be/6ZgIW9CwhZw,Boy,Major
3/11/2020,Dreamcatcher,Sahara,,,https://youtu.be/BgLhbkKu1s4,Girl,Special
3/10/2020,Favorite,Lie,또 LIE,,https://youtu.be/lE1X2U1sBFg,Girl,Major
3/9/2020,Stray Kids,Levanter -Japanese ver.-,,,https://youtu.be/YlOLn9Pd9R4,Boy,Japanese
3/9/2020,ITZY,Wannabe,,Naive,https://youtu.be/fE2h3lGlOsk,Girl,Major
3/8/2020,VICTON,Howling,,,https://youtu.be/fPlcZsCOugA,Boy,Major
3/5/2020,BTS,Black Swan,,,https://youtu.be/0lapF4DQPKQ,Boy,Minor
3/5/2020,NCT 127,Kick It,영웅,Kim 'Oui Kim' Seonguk,https://youtu.be/2OvyA2__Eas,Boy,Major
3/4/2020,VIINI,"Love The Moon feat. Suhyun, BLOO",달을 사랑해,,https://youtu.be/Md9RRt2r3TU,Boy Solo,Major
3/4/2020,Dreamcatcher,Endless Night,,,https://youtu.be/wCALuFy2YVI,Girl,Japanese
3/3/2020,CRAXY,Aria,,,https://youtu.be/KhM_l1EeHKc,Girl,Major
