Song Name,Artist,NOV Lower (M),NOV Higher (M),Real View (M),Percent Real Views,matches
Perfect World,Twice,3.0,7.0,78.1,100.0,False
See You Again,Han,5.0,9.0,8.7,100.0,False
Hello Future,NCT,5.0,5.0,71.5,70.4,False
PTT,LOONA,5.0,5.0,46.3,68.8,False
Make It,2PM,5.0,5.0,20.8,58.1,False
The Juice,Sam,4.5,8.5,7.2,100.0,False
Ready to love,Seventeen,4.5,4.5,49.0,81.0,False
Chi Mat Ba Ram,Brave,4.5,4.5,21.0,51.2,False
RiBBon,Bambam,4.5,4.5,39.6,56.1,False
YumYum,,4.0,8.0,6.7,100.0,False
Vanilla,Lightsum,7.0,11.0,20.3,100.0,False
AlcoholFree,,7.0,7.0,229.5,85.2,False
Bye Bye Bye,WEi,9.5,13.5,19.7,100.0,False
Lock Down,Epex,9.5,9.5,20.8,61.5,False
Don’t fight the feeling,EXO,9.5,9.5,79.3,72.6,False
Up All Night,Ghost9,4.0,8.0,9.5,70.5,False
Where Are We Now,Mamamoo,3.0,7.0,14.7,100.0,False
Gambler,MONSTA,3.0,3.0,24.8,55.4,False
Illa Illa,B.I,3.0,3.0,17.5,59.3,False
7days Tension,Weeekly,6.0,10.0,11.5,100.0,False
Bittersweet,Wonwoo,2.0,6.0,16.5,100.0,False
First,Everglow,2.0,2.0,54.7,57.8,True
Bonnie & Clyde,Yuqi,2.0,6.0,16.5,89.2,False
Son of Beast,TO1,6.5,10.5,11.7,100.0,False
Advice,Taemin,3.0,11.0,43.2,93.5,False
RUBADUM,,2.0,6.0,16.6,100.0,False
WE GO,Fromis,4.0,8.0,21.1,84.1,False
Next Level,Aespa,4.0,4.0,214.1,81.1,False
Ring Ring,Rocket,4.3,8.3,10.7,71.3,False
Easy,WJSN,3.5,7.5,7.6,100.0,True
Breathe Again,Blitzers,3.5,7.5,5.8,100.0,False
Black Mirror,Oneus,9.0,17.0,16.7,64.9,False
Hot Sauce,NCT,9.0,9.0,136.0,78.2,True
Dun Dun Dance,Oh,9.0,9.0,44.9,83.3,False
Not The End,Highlight,9.0,9.0,12.2,68.9,False
Mafia in the morning,ITZY,9.0,9.0,199.8,83.0,False
Ugly Dance,ONF,1.5,9.5,10.7,87.7,False
Gratata,Hot,3.0,7.0,6.2,100.0,False
CLOSE,AB6IX,3.0,3.0,17.7,66.3,False
Scared,P1Harmony,1.5,5.5,7.1,100.0,False
Kura Kura,Twice,1.5,5.5,56.3,100.0,False
Inside Out,NU'EST,2.5,6.5,13.6,100.0,False
Antidote,Kang,2.5,2.5,19.5,45.9,False
Atlantis,SHINee,4.0,8.0,21.1,84.1,False
ASAP,StayC,4.0,4.0,51.7,85.2,False
One,ASTRO,4.0,4.0,31.4,79.7,True
5K,Lee,3.0,7.0,5.1,100.0,False
Unnatural,WJSN,4.0,8.0,12.0,75.0,False
Exit,TFN,8.0,16.0,12.9,61.8,False
All in,DKB,1.0,5.0,12.8,92.8,False
Bambi,Baekhyun,1.0,1.0,39.9,75.4,False
Warning,Sejeong,6.5,10.5,12.5,100.0,False
Iyah,Kang,1.0,5.0,11.9,92.2,False
Killa,Mirae,5.0,13.0,11.1,69.0,False
After School,Weeekly,7.0,15.0,142.4,95.3,False
House Party,Super,7.5,11.5,31.2,100.0,False
Ponzona,Purple,2.0,10.0,21.4,91.5,False
FEEL LIKE,Woodz,3.0,7.0,12.9,81.1,False
DO or NOT,PENTAGON,3.0,3.0,20.7,67.4,False
Seoul,Ghost9,4.0,8.0,9.5,70.4,False
My Starry Love,Lim,3.5,7.5,63.5,100.0,False
Get Away,Verivery,7.0,15.0,9.9,58.5,True
Fireworks,ATEEZ,7.0,7.0,51.4,89.6,False
Beautiful Beautiful,ONF,13.5,17.5,17.9,100.0,False
All or Nothing,WEi,6.0,10.0,8.2,100.0,False
Tail,Sunmi,6.0,6.0,37.4,86.2,False
Don't Call Me,SHINee,7.5,11.5,69.0,100.0,True
Paranoia,Kang,2.0,6.0,37.4,94.9,False
Bicycle,Chung,13.5,17.5,44.0,100.0,False
Sugar,Kim,3.5,7.5,14.0,100.0,True
Forever,Aespa,7.5,23.5,43.5,85.3,False
Cinema,CIX,2.0,6.0,20.4,91.1,False
Play with life,Hwasa,3.0,7.0,5.1,100.0,False
Odd Eye,Dreamcatcher,1.5,5.5,49.1,97.0,False
My Turn,CRAVITY,1.0,5.0,20.6,95.4,False
No Diggity,Oneus,1.0,5.0,26.7,96.4,False
Stay Young,AB6IX,1.5,5.5,13.8,100.0,False
My Treasure,Treasure,4.0,12.0,44.4,91.7,False
Asurabalbalta,TFN,6.0,26.0,26.4,81.5,False
Hwaa,(G)Idle,6.0,6.0,90.0,78.3,False
What I Said,Victon,2.5,6.5,27.2,100.0,False
Crush,MCND,2.0,6.0,20.1,100.0,True
W.ALL,Ghost9,1.0,5.0,9.7,90.6,False
Panorama,IZ*ONE,1.0,1.0,81.3,89.0,False
Resonance (NCT 2020),NCT,1.0,1.0,98.9,79.2,False
Mmmh,Kai,4.0,16.0,129.9,97.0,False
Last Piece,GOT7,4.0,4.0,36.5,80.2,False
Work It,NCT,4.0,4.0,42.5,73.9,False
Breath,GOT7,4.0,8.0,44.5,91.7,True
90's love,NCT,4.0,4.0,116.1,87.9,False
Crush On U,Bae173,3.0,7.0,8.6,74.2,False
Ready or Not,Momoland,4.0,8.0,25.6,86.5,False
Black Mamba,Aespa,4.0,4.0,224.2,91.1,False
Show Your Love,BTOB,1.0,5.0,23.1,95.9,False
So Bad,StayC,3.0,7.0,34.3,92.0,False
MAGO,GFriend,3.0,3.0,74.2,93.7,False
IDEA,Taemin,3.0,3.0,47.7,81.2,False
Hero,Lim,1.5,5.5,29.8,100.0,True
Salute,AB6IX,1.0,5.0,16.5,94.3,False
Love Killa,MONSTA,9.0,17.0,46.5,83.8,False
Siren,P1Harmony,3.0,7.0,13.5,81.8,False
Jungle,CIX,3.0,3.0,17.2,58.9,True
Work Hard,DKB,2.0,6.0,10.8,84.4,False
I Can't Stop Me,Twice,2.0,2.0,453.0,92.8,False
Like a movie,B1A4,1.0,5.0,11.5,92.0,False
Home;Run,Seventeen,1.0,1.0,49.9,72.4,False
From Home,NCT,1.0,1.0,51.6,73.1,False
Why Not?,LOONA,3.0,7.0,38.9,92.8,False
GBTB,Verivery,3.0,11.0,13.0,81.3,False
Zig Zag,Weeekly,9.0,17.0,8.1,47.4,False
Daisy,PENTAGON,3.0,7.0,33.2,91.7,False
Make A Wish (Birthday Song),NCT,3.0,3.0,224.6,83.3,False
Cool,Weki,3.0,3.0,11.6,69.9,True
Twilight,WEi,3.0,3.0,10.8,62.5,True
One (Monster & Infinity),SuperM,3.0,3.0,29.9,78.9,False
Think of Dawn,Ghost9,6.0,10.0,8.7,100.0,False
Ddalala,XUM,6.0,10.0,11.1,100.0,False
Arisong,cignature,4.5,8.5,6.1,100.0,False
La Di Da,Everglow,4.5,4.5,84.5,67.9,False
The Stealer,The,8.0,16.0,25.3,76.0,False
I love you,Treasure,2.5,6.5,104.5,97.7,False
Feel Good (Secret Code),Fromis,3.0,11.0,24.2,89.0,False
Made For Two,VAV,3.0,11.0,10.7,78.0,False
Back Door,Stray,3.0,3.0,288.4,94.1,False
Wanna be myself,Mamamoo,3.0,3.0,21.9,74.5,False
Bird,Namjoo,2.5,6.5,6.0,100.0,False
Bon Voyage,Yooa,9.0,17.0,19.8,68.7,False
Open Mind,Wonho,2.5,6.5,25.0,100.0,False
Numbers,Jamie,6.0,10.0,8.9,100.0,False
Helicopter,CLC,6.0,6.0,50.3,73.6,False
Tiger Inside,SuperM,3.5,7.5,66.5,100.0,False
Obliviate,Lovelyz,3.0,7.0,4.1,57.9,True
Obliviate,Lovelyz,3.0,7.0,5.3,63.8,True
Beautiful Scar,Lee,9.0,13.0,11.0,100.0,False
No More,Kim,3.0,7.0,12.1,100.0,True
Flame,CRAVITY,3.0,3.0,11.0,68.8,False
Thanxx,ATEEZ,3.0,3.0,44.3,68.9,False
Nanana,MCND,2.0,6.0,12.4,86.1,False
Not Shy,ITZY,2.0,2.0,177.5,87.7,False
Boca,Dreamcatcher,5.0,13.0,64.8,92.8,False
When We Disco,JYPark,1.0,5.0,45.1,97.8,False
Sacrifice,Han,2.0,6.0,11.3,84.9,False
Sukhumvit Swimming,ONF,3.0,7.0,7.9,72.6,False
Boy,Treasure,3.0,7.0,118.6,100.0,True
Aloha Oe,Cherry,2.0,6.0,6.1,100.0,False
Who U Are,Kang,5.0,13.0,21.0,80.8,False
Dumdi Dumdi,(G)Idle,5.0,5.0,55.1,61.1,False
Inception,ATEEZ,5.0,5.0,56.4,71.9,False
Away,Jeong,6.0,10.0,11.3,100.0,False
Apple,GFriend,6.0,6.0,29.5,74.7,False
Nothin',Chanyeol,5.0,9.0,11.7,100.0,False
